player_id,player_display_name,team,position,opponent,week,baseline,projected_points,injury_status
00-0039379,Jamari Thrash,CLE,WR,GB,3,1.4133333333333336,1.554552688172043,ACTIVE
00-0039384,Tyrone Tracy Jr.,NYG,RB,KC,3,7.984705882352941,7.405170777988613,QUESTIONABLE
00-0039407,Dylan Laube,LV,RB,WAS,3,1.4800000000000004,1.343935483870968,ACTIVE
00-0039410,Ryan Flournoy,DAL,WR,CHI,3,0.40444444444444444,0.5326826881720431,ACTIVE
00-0039424,Devaughn Vele,NO,WR,SEA,3,5.361428571428571,4.978756607142856,ACTIVE
00-0039451,Isaiah Williams,NYJ,WR,TB,3,0.06500000000000002,0.06354274193548388,ACTIVE
00-0039530,Brevyn Spann-Ford,DAL,TE,CHI,3,0.8436363636363637,0.9791148387096776,ACTIVE
00-0039589,Kameron Johnson,TB,WR,NYJ,3,0.05499999999999999,0.06079274193548386,ACTIVE
00-0039650,Bryce Oliver,TEN,WR,IND,3,1.1075000000000002,1.2123552419354842,ACTIVE
00-0039732,Bo Nix,DEN,QB,LAC,3,15.312666666666669,16.27341301075269,ACTIVE
00-0039738,Blake Corum,LA,RB,PHI,3,5.6466666666666665,5.346118279569891,ACTIVE
00-0039739,Roman Wilson,PIT,WR,NE,3,1.7,2.114306451612903,ACTIVE
00-0039751,Jordan Whittington,LA,WR,PHI,3,3.36375,3.4673752016129034,ACTIVE
00-0039792,Devontez Walker,BAL,WR,DET,3,13.886666666666667,17.51366241935484,ACTIVE
00-0039793,AJ Barner,SEA,TE,NO,3,5.846666666666668,5.155227607526882,ACTIVE
00-0039794,Braelon Allen,NYJ,RB,TB,3,4.202352941176471,4.4260265654648965,ACTIVE
00-0039796,Rasheen Ali,BAL,RB,DET,3,0.32400000000000007,0.32538483870967744,ACTIVE
00-0039798,Isaiah Davis,NYJ,RB,TB,3,2.0661538461538465,2.176126550868487,ACTIVE
00-0039816,Anthony Gould,IND,WR,TEN,3,0.08249999999999999,0.09997137096774193,ACTIVE
00-0039847,Theo Johnson,NYG,TE,KC,3,4.798181818181819,4.639532258064516,ACTIVE
00-0039849,Marvin Harrison Jr.,ARI,WR,SF,3,11.431764705882355,12.149015749525619,ACTIVE
00-0039851,Drake Maye,NE,QB,PIT,3,19.680307692307696,24.05758903225807,ACTIVE
00-0039868,Troy Franklin,DEN,WR,LAC,3,13.907058823529413,13.891357305502847,ACTIVE
00-0039875,Ray Davis,BUF,RB,MIA,3,2.657,3.4103666370967747,ACTIVE
00-0039880,Malik Washington,MIA,WR,BUF,3,4.171428571428572,4.67141129032258,ACTIVE
00-0039890,Adonai Mitchell,IND,WR,TEN,3,3.8724705882352946,4.692559924098672,ACTIVE
00-0039893,Brian Thomas Jr.,JAX,WR,HOU,3,10.454117647058824,12.222886907020873,ACTIVE
00-0039901,Keon Coleman,BUF,WR,MIA,3,13.75375,11.978240700604838,ACTIVE
00-0039910,Jayden Daniels,WAS,QB,LV,3,19.33,21.36588548387096,QUESTIONABLE
00-0039912,Ben Sinnott,WAS,TE,LV,3,1.7875,1.7474254032258065,ACTIVE
